PROVINCIA;VOTOS_P1;VOTOS_P2
AREQUIPA;74;136
AREQUIPA;131;106
AREQUIPA;83;163
CAYLLOMA;193;28
CAYLLOMA;181;29
CAYLLOMA;197;31
CAYLLOMA;178;28
CAYLLOMA;215;28
AREQUIPA;173;70
CAYLLOMA;214;37
AREQUIPA;184;64
AREQUIPA;140;94
AREQUIPA;161;89
AREQUIPA;120;123
AREQUIPA;123;104
CAYLLOMA;186;12
CAYLLOMA;142;13
AREQUIPA;107;71
AREQUIPA;163;84
AREQUIPA;89;120
AREQUIPA;117;111
AREQUIPA;180;56
AREQUIPA;219;40
AREQUIPA;115;96
AREQUIPA;149;69
AREQUIPA;207;43
AREQUIPA;191;56
AREQUIPA;182;43
AREQUIPA;105;34
AREQUIPA;154;62
AREQUIPA;194;39
AREQUIPA;91;62
AREQUIPA;106;69
AREQUIPA;153;66
AREQUIPA;167;57
AREQUIPA;177;57
AREQUIPA;172;57
AREQUIPA;144;75
AREQUIPA;144;43
AREQUIPA;166;74
AREQUIPA;178;69
AREQUIPA;166;54
AREQUIPA;156;47
AREQUIPA;144;83
AREQUIPA;178;64
AREQUIPA;137;77
AREQUIPA;184;65
AREQUIPA;78;136
AREQUIPA;51;180
AREQUIPA;193;75
AREQUIPA;181;73
AREQUIPA;188;59
AREQUIPA;26;78
AREQUIPA;176;58
AREQUIPA;187;55
AREQUIPA;146;78
AREQUIPA;157;69
AREQUIPA;79;139
AREQUIPA;165;67
AREQUIPA;163;77
HUAMANGA;198;40
HUANTA;167;29
HUANTA;151;35
HUAMANGA;191;34
HUAMANGA;205;35
HUAMANGA;199;26
HUAMANGA;182;40
HUANTA;168;35
HUAMANGA;196;24
HUAMANGA;181;46
HUAMANGA;204;24
HUAMANGA;193;15
HUANTA;155;48
HUANTA;128;49
HUAMANGA;184;29
HUAMANGA;172;53
HUANTA;113;59
HUAMANGA;178;66
CANGALLO;191;14
HUAMANGA;156;32
CANGALLO;174;17
CANGALLO;157;7
HUANTA;183;14
HUAMANGA;175;34
HUAMANGA;175;47
HUAMANGA;195;18
HUAMANGA;176;7
CANGALLO;177;15
HUANTA;132;35
HUAMANGA;231;21
CANGALLO;142;25
HUANTA;173;20
HUAMANGA;187;46
HUAMANGA;179;44
HUAMANGA;173;40
HUAMANGA;164;12
HUAMANGA;180;41
HUAMANGA;186;42
HUAMANGA;190;39
HUAMANGA;169;58
HUANTA;103;27
HUAMANGA;189;51
HUAMANGA;186;59
HUAMANGA;192;45
HUAMANGA;215;29
HUAMANGA;201;28
HUAMANGA;187;56
HUAMANGA;197;42
HUAMANGA;144;26
HUAMANGA;140;39
HUAMANGA;192;35
HUAMANGA;193;44
HUAMANGA;207;33
HUANTA;164;33
HUAMANGA;176;37
CARAVELI;101;84
ISLAY;116;102
ISLAY;122;99
CARAVELI;153;27
CARAVELI;59;102
ISLAY;134;43
JAPON;2;45
JAPON;12;59
HUAMANGA;179;43
CARAVELI;75;81
ISLAY;185;38
ISLAY;198;61
HUAMANGA;188;64
HUAMANGA;166;61
ISLAY;214;21
JAPON;5;96
HUAMANGA;176;64
HUAMANGA;171;53
HUAMANGA;187;36
CASTILLA;143;27
CASTILLA;101;6
JAPON;5;84
ISLAY;175;43
JAPON;13;129
CASTILLA;136;25
ISLAY;170;62
ISLAY;146;53
HUAMANGA;176;39
LA UNION;129;31
LA UNION;114;22
EMIRATOS ARABES UNIDOS;3;30
HUAMANGA;146;54
HUAMANGA;195;55
HUAMANGA;176;59
CASTILLA;130;41
HUAMANGA;137;48
CONDESUYOS;124;5
CONDESUYOS;142;11
LA UNION;138;6
HUAMANGA;115;50
CARAVELI;60;122
HUAMANGA;159;54
HUAMANGA;202;36
CONDESUYOS;138;21
CONDESUYOS;144;47
CAMANA;152;56
CARAVELI;109;95
HUAMANGA;170;59
ISRAEL;15;43
ISLAY;136;82
ISLAY;35;12
CAJAMARCA;140;104
CAJAMARCA;140;102
CAJAMARCA;177;36
CAJAMARCA;132;109
CAJAMARCA;124;103
CAJAMARCA;129;99
CAJAMARCA;96;18
CAJAMARCA;113;109
CAJAMARCA;119;39
CAJAMARCA;46;46
CAJAMARCA;132;107
CAJAMARCA;124;91
CAJAMARCA;128;92
CAJAMARCA;128;98
CAJAMARCA;133;88
CAJAMARCA;155;64
CAJAMARCA;146;48
CAJAMARCA;111;111
CAJAMARCA;143;99
CAJAMARCA;97;76
CAJAMARCA;61;35
CAJAMARCA;159;98
CAJAMARCA;128;94
CAJAMARCA;129;72
CAJAMARCA;160;83
CAJAMARCA;156;80
CAJAMARCA;118;100
CAJAMARCA;103;88
CAJAMARCA;150;66
CAJAMARCA;42;18
CAJAMARCA;69;7
CAJAMARCA;127;68
CAJAMARCA;134;73
CAJAMARCA;131;83
CAJAMARCA;130;80
CAJAMARCA;125;104
CAJAMARCA;124;107
CAJAMARCA;110;89
CAJAMARCA;114;114
CAJAMARCA;133;95
CAJAMARCA;75;50
CAJAMARCA;72;64
CAJAMARCA;124;111
CAJAMARCA;80;54
CAJAMARCA;118;114
CAJAMARCA;140;95
CAJAMARCA;68;89
LUCANAS;73;31
VILCAS HUAMAN;120;21
PAUCAR DEL SARA SARA;124;55
LA MAR;95;14
LA MAR;173;24
PARINACOCHAS;232;17
PARINACOCHAS;148;30
SUCRE;108;39
LA MAR;149;15
SUCRE;78;30
SUCRE;111;43
SUCRE;69;18
SUCRE;64;41
CAJAMARCA;115;93
LA MAR;160;24
PARINACOCHAS;49;13
PARINACOCHAS;80;18
CAJAMARCA;123;86
CAJAMARCA;89;94
LA MAR;44;2
LA MAR;174;39
VICTOR FAJARDO;152;11
CANGALLO;123;12
CAJAMARCA;104;80
LA MAR;142;18
VICTOR FAJARDO;155;10
CAJAMARCA;105;80
CAJAMARCA;102;81
VICTOR FAJARDO;115;23
VICTOR FAJARDO;121;11
LUCANAS;163;21
LA MAR;128;19
LA MAR;140;35
LA MAR;150;10
LUCANAS;143;29
LUCANAS;123;29
LA MAR;112;9
LA MAR;165;26
LUCANAS;127;23
LUCANAS;127;26
LA MAR;96;15
LA MAR;117;10
LUCANAS;87;73
VILCAS HUAMAN;161;30
VILCAS HUAMAN;158;11
LUCANAS;79;91
LA MAR;151;54
LA MAR;136;64
LUCANAS;128;40
PARINACOCHAS;91;10
VICTOR FAJARDO;128;16
LA MAR;189;46
LA MAR;146;31
LA MAR;103;18
LUCANAS;105;55
JAEN;140;68
CHOTA;227;28
HUALGAYOC;161;18
HUALGAYOC;156;19
CHOTA;190;29
CHOTA;191;6
HUALGAYOC;160;10
JAEN;112;65
CHOTA;182;11
HUALGAYOC;151;37
HUALGAYOC;161;12
HUALGAYOC;188;16
CHOTA;119;2
JAEN;136;55
CHOTA;91;25
CHOTA;172;17
CHOTA;184;7
CHOTA;149;10
HUALGAYOC;123;7
JAEN;157;59
CHOTA;169;31
HUALGAYOC;157;20
HUALGAYOC;190;5
HUALGAYOC;141;32
JAEN;140;92
CHOTA;101;65
HUALGAYOC;188;25
HUALGAYOC;165;33
HUALGAYOC;175;17
JAEN;142;72
CHOTA;115;56
CHOTA;117;47
CHOTA;115;44
HUALGAYOC;162;23
CHOTA;163;30
HUALGAYOC;167;3
JAEN;144;78
CHOTA;174;34
HUALGAYOC;146;20
JAEN;160;76
JAEN;107;60
CHOTA;160;22
HUALGAYOC;157;27
JAEN;143;70
CHOTA;212;39
HUALGAYOC;201;18
JAEN;136;89
HUALGAYOC;165;17
JAEN;114;65
JAEN;136;55
JAEN;137;72
CHOTA;206;20
CHOTA;88;12
HUALGAYOC;171;16
CHOTA;202;19
CHOTA;194;20
CHOTA;118;41
CELENDIN;134;62
CUTERVO;103;45
CUTERVO;184;19
CUTERVO;133;21
CAJABAMBA;117;103
CUTERVO;130;52
CUTERVO;104;31
CELENDIN;115;13
CUTERVO;129;52
CELENDIN;80;12
CUTERVO;149;42
CUTERVO;155;49
CUTERVO;138;62
CUTERVO;148;39
CAJABAMBA;111;70
CELENDIN;158;19
CUTERVO;128;50
CHOTA;162;25
CELENDIN;141;21
CELENDIN;131;24
CELENDIN;155;21
CONTUMAZA;145;36
CONTUMAZA;135;55
CUTERVO;91;32
CUTERVO;129;24
CUTERVO;136;26
CUTERVO;70;17
CELENDIN;118;40
CHOTA;145;22
CELENDIN;113;45
CELENDIN;149;48
CAJAMARCA;147;66
CAJAMARCA;116;85
CAJAMARCA;124;78
CONTUMAZA;91;51
CUTERVO;91;26
CELENDIN;136;47
CELENDIN;146;30
